ID,Term,Original Score,Adjusted Score,Average Adjusted By User ID,Confidence,Explanation
,Time-consuming,0.3,0.55,,Medium,"Though typically negative due to implying waste of time,  the context shows contentment with the time spent,  raising the sentiment slightly."
45,Easy to use,0.85,0.95,0.876,High,"This phrase indicates usability and simplicity,  which are positive. The provided context enhances its sentiment because of the effective description and organization of the system."
,Fun,0.8,0.9,,High,The term itself carries a positive sentiment. The context expressing the enjoyment of computer game assignments and friendly competition increases the sentiment slightly.
,Inviting,0.8,0.95,,High,"The word 'inviting' carries a positive sentiment, hence its high score. Given the context, the adjusted score is higher because it signifies the efforts to make learning comfortable and accessible for students."
,Organized,0.7,0.88,,Medium,"'Organized' generally has a positive connotation. In this context, its score is increased because it addresses a positive aspect of the code structure, enhancing efficiency and ease of use."
,Unconventional,0.5,0.7,,Medium,"'Unconventional' generally carries a neutral to slightly negative sentiment. However, the speaker sees it as a positive in this context, leading to a higher adjusted score."
46,Exciting,0.85,0.95,0.7,High,"'Exciting' has a positive sentiment attached to it. In this context, it's regarding a challenging and fun project. The excitement of learning new things increase the adjusted score."
,High quality,0.9,0.95,,High,'High quality' carries a strong positive sentiment. The context of it referring to sophisticated work put into the project strengthens this sentiment a little more.
,Intimidating,0.2,0.1,,Medium,"'Intimidating' generally has a negative sentiment associated with it. The context reduces the score further, hinting that the project presented a degree of difficulty that made it daunting."
,Straight forward,0.7,0.55,,Low,"'Straight forward' typically conveys a positive sentiment, associated with ease and simplicity. The context reduces the score as it reflects a desire for change."
,Useful,0.9,0.95,,High,The sentiment of 'useful' is positive. The context strengthens this sentiment slightly as it indicates that the work is beneficial in reinforcing knowledge.
47,Exciting,0.85,1,0.65,High,"'Exciting' has a positive sentiment. Here, it's reinforced further due to a successful implementation of a feature, leading to an adjusted score of 1.00."
,Intimidating,0.2,0.15,,Medium,"'Intimidating' carries a negative sentiment. In this context, it's signaling a high difficulty level in understanding the code at first, leading to a decrease in sentiment score."
,Motivating,0.75,0.9,,High,"The word 'motivating' has a positive sentiment as it conveys a sense of inspiration and encouragement. The score is higher due to the explanation which emphasizes on the rewarding feeling the individual receives, thus enhancing the positivity of the sentiment."
,Time-consuming,0.35,0.25,,Medium,"'Time-consuming' has a subtly negative sentiment as it tends to be associated with tasks that are overly prolonged or tedious. The score is lowered as the explanation affirms the large time commitment required, emphasizing the negative connotations of the word."
,Useful,0.85,0.95,,High,"'Useful' has a strong positive sentiment- it suggests practicality, utility, and benefit. The score is heightened due to the explanation around how the task aids in preparing for professional scenarios requiring creative thinking."
48,Comprehensive,0.7,0.8,0.81,High,"'Comprehensive' carries a positive sentiment as it hints at thoroughness, inclusivity and wide coverage. The sentiment score is increased because the explanation mentions the ability to use a 'wide array' of topics, highlighting the extensiveness and inclusivity."
,Exciting,0.9,0.95,,High,"The word 'exciting' conveys a very positive sentiment, filled with enthusiasm and eagerness. The explanation reinforces this sentiment by stating that the project was embarked upon out of want and not obligation."
,Fun,1,1,,High,"'Fun' exhibits a strongly positive sentiment, implying enjoyment and pleasure. The given explanation not only supports this sentiment but amplifies it, stating that the project was 'the most fun' the individual had had on a school project."
,Straight forward,0.6,0.7,,Medium,"'Straight forward' inherently carries a positive sentiment as it suggests simplicity and ease of approach. The sentiment score is boosted as the explanation emphasizes the project's easiness to pick up with optional complexity, reinforcing its accessible and uncomplicated nature."
,Unconventional,0.5,0.6,,Medium,"'Unconventional' carries a neutral to slightly positive sentiment as it implies novelty and originality. The sentiment score is adjusted higher as per the explanation, revisiting the idea that the project was not a typical school project, thus carrying a notion of uniqueness."
49,Accessible,0.8,0.9,0.898,High,"'Accessible' has a strong positive sentiment as it conveys ease of approach and availability. The score increases due to the explanation that while initial stages were difficult, help was readily available, thus the accessibility was affirmed."
,Consistent,0.75,0.9,,High,'Consistent' exudes a positive sentiment as it signifies reliability and steadiness. The score is adjusted upward as the explanation strengthens this by stating that object behavior was predictably and dependably the same every time.
,Customizable,0.9,1,,High,"The word 'customizable' carries a positive sentiment, suggesting flexibility and adaptability. The sentiment score is maxed out due to the explanation that emphasizes the complete freedom that was given in creating their own distinct solution."
,Stimulating,0.75,0.89,,High,"The word 'Stimulating' itself carries a positive sentiment score as it indicates excitement and engagement. The explanation presents a positive sentiment, which subtly raises the sentiment score by suggesting intellectual stimulation and a challenge that invigorates the mind."
,Straight forward,0.7,0.8,,High,"'Straight forward' initially possesses a neutral to slightly positive sentiment, implying simplicity and ease of understanding. Following the explanation, which suggests a smoothed task handling process attributed to this straightforwardness, the sentiment score goes up."
50,Comprehensive,0.65,0.76,0.844,High,'Comprehensive' initially has a positive sentiment score related to thoroughness and completeness. The explanation confirms this sentiment score and slightly raises it by conveying appreciation for covering everything learned during the semester.
,Connected,0.6,0.76,,Medium,"Initially 'Connected' has a neutral-positive score, referring to being engaged or involved. The sentiment score increases with the explanation that it helped to be 'engaged and connected with the system,' which conveys a constructive environment."
,Fun,0.9,0.95,,High,"The word 'Fun' universally owns a high positive sentiment score, as it represents enjoyment and light-heartedness. The explanation reaffirms this sentiment by expressing amusement encountered while engaging with the task."
,Motivating,0.85,0.92,,High,"'Motivating' carries a positive sentiment score, as it characterizes guidance towards a cause or action. After taking into account the explanation which reveals a drive to improve, the sentiment score sees a slight increase."
,Stimulating,0.75,0.83,,Medium,"'Stimulating' has a primarily positive sentiment as it suggests an engaging and exciting scenario. The sentiment gets a boost considering the explanation, where it indicates that stimulation led to creativity and a drive to 'make a better controller.'"
